Name,Treble,Author,Date,Website,Folder,Download link,XDA link,Telegram link,4PDA post link
Flyme,,YiRan,2018-01-10,,https://cloud.mail.ru/public/7SMr/DDASiAQiU/,https://cloud.mail.ru/public/7SMr/DDASiAQiU/flyme_Redmi-4X_YiRan_6.7.12.22R.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=61894584
Flyme,,136fei,2018-01-10,,https://cloud.mail.ru/public/7SMr/DDASiAQiU/Flyme_official/,https://cloud.mail.ru/public/7SMr/DDASiAQiU/Flyme_official/flyme_Redmi-4X_136fei_6.8.1.5R-beta.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=66714475
Flyme,,silent27,2017-06-11,,,https://drive.google.com/uc?id=0BzeDfWfSn7lxYUM2SkFVcXlreUk&export=download,,,https://4pda.ru/forum/index.php?act=findpost&pid=62276835
Lineage,,zerozaki,2017-04-30,,https://yadi.sk/d/L6vGGTIr3HWAZB,https://yadi.sk/d/L6vGGTIr3HWAZB/lineage-13.0-20170430-UNOFFICIAL-santoni.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=60985673
Lineage,,silent27,2017-06-15,,,https://drive.google.com/uc?id=0BzeDfWfSn7lxSDl1dWtXNTZ4TTA&export=download,,,https://4pda.ru/forum/index.php?act=findpost&pid=61463677
Mokee,,zerozaki,2017-06-04,,https://yadi.sk/d/OrOssTIL3HL74T,https://yadi.sk/d/OrOssTIL3HL74T/MK60.1-santoni-201706041722-UNOFFICIAL.zip,,,https://4pda.ru/forum/index.php?act=findpost&pid=60985673
